City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,hammam bou hadjar,35.3789,-0.9678,15.61,89,100,12.23,DZ,1707514308
346,karwar,14.8,74.1333,24.12,59,1,1.6,IN,1707514309
347,bondo,3.8146,23.6866,22.87,40,12,1.63,CD,1707514309
348,alo,7.4178,6.7371,30.2,29,2,0.53,NG,1707514310
349,hotan,37.0997,79.9269,-1.69,61,9,1.5,CN,1707514310
350,wacheng,33.7833,114.5167,2.06,75,13,0.58,CN,1707514310
351,hadibu,12.65,54.0333,25.89,67,100,7.2,YE,1707514311
352,toliara,-23.35,43.6667,27.27,76,25,1.44,MG,1707514311
353,serenje,-13.2325,30.2352,17.81,90,81,2.49,ZM,1707514312
354,hacienda la calera,-32.7833,-71.2167,24.79,41,0,2.45,CL,1707514312
355,ingeniero jacobacci,-41.3427,-69.5448,26.39,26,80,5.28,AR,1707514312
356,geraldton,-28.7667,114.6,22.23,28,0,1.54,AU,1707514313
357,jumla,29.2747,82.1838,-2.01,34,0,2.52,NP,1707514313
358,mahina,-17.5065,-149.489,28.87,74,75,3.6,PF,1707514314
359,miyazu,35.5333,135.1833,1.75,83,50,2.22,JP,1707514314
360,naze,28.3667,129.4833,12.51,58,97,5.27,JP,1707514133
361,lupane,-18.9315,27.807,22.8,57,42,0.91,ZW,1707514315
362,weno,7.4515,151.8468,27.97,74,100,2.57,FM,1707514315
363,east london,-33.0153,27.9116,19.76,72,82,4.49,ZA,1707514209
364,nawalgarh,27.85,75.2667,11.63,32,0,2.46,IN,1707514316
365,petropavlovsk-kamchatsky,53.0452,158.6483,-12.67,85,75,4.0,RU,1707514316
366,tevriz,57.509,72.4042,-16.41,96,96,3.66,RU,1707514317
367,keflavik,64.0049,-22.5624,-3.76,74,40,5.14,IS,1707514317
368,kupang,-10.1667,123.5833,24.32,100,40,1.03,ID,1707514317
369,as sulayyil,20.4607,45.5779,17.14,38,13,4.69,SA,1707514318
370,mili,6.0815,171.735,27.23,84,100,10.47,MH,1707514318
371,bonthe,7.5264,-12.505,26.84,83,80,2.96,SL,1707514318
372,dawesville,30.9224,-84.0091,23.17,51,0,4.63,US,1707514319
373,snyder,32.7179,-100.9176,18.19,16,0,4.63,US,1707514319
374,maun,-19.9833,23.4167,24.98,69,0,2.57,BW,1707514281
375,chimore,-16.9833,-65.1333,25.87,93,83,1.49,BO,1707514320
376,siniscola,40.5719,9.6922,12.75,69,100,0.74,IT,1707514321
377,riosucio,5.4216,-75.7032,25.0,70,60,0.26,CO,1707514321
378,kavaratti,10.5669,72.642,27.76,74,45,3.22,IN,1707514322
379,saguenay,48.4168,-71.0657,1.16,80,75,8.23,CA,1707514200
380,ourem,39.6417,-8.5919,11.57,100,84,6.91,PT,1707514323
381,nahrin,36.0649,69.1334,5.58,36,0,2.18,AF,1707514323
382,nesebar,42.7833,27.7333,8.49,79,32,4.2,BG,1707514323
383,tofol,5.3248,163.0078,27.74,74,100,11.21,FM,1707514324
384,korla,41.7597,86.1469,1.51,47,18,3.17,CN,1707514324
385,penzance,50.1186,-5.5371,9.38,77,79,9.17,GB,1707514325
386,freetown,8.484,-13.2299,28.84,74,40,4.63,SL,1707514325
387,benguela,-12.5763,13.4055,27.28,76,81,2.63,AO,1707514325
388,afaahiti,-17.75,-149.2833,27.93,81,100,3.2,PF,1707514326
389,ain sefra,32.75,-0.5833,12.83,22,100,4.21,DZ,1707514326
390,khandyga,62.6667,135.6,-46.45,100,71,0.97,RU,1707514327
391,uglich,57.5275,38.3317,-24.89,100,84,1.44,RU,1707514327
392,vangaindrano,-23.35,47.6,22.71,99,76,0.6,MG,1707514327
393,coruripe,-10.1256,-36.1756,27.41,76,88,5.38,BR,1707514328
394,murghob,38.1702,73.9667,-20.54,57,0,2.32,TJ,1707514328
395,sao miguel do tapuio,-5.5036,-41.3233,27.46,60,99,1.2,BR,1707514329
396,santa ana,33.7456,-117.8678,17.01,64,75,3.6,US,1707514134
